Country Name,Country Code,Series Name,Series Code,1993 [YR1993],1997 [YR1997],2001 [YR2001],2005 [YR2005],2009 [YR2009],2013 [YR2013],2017 [YR2017],2020 [YR2020]
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,3092000000,6332360000,8317830000,9836200000,9981960000,10562800000,12357600000,9699500000
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,271065,287363,302618,324848,349600,367162,381749,393248
"Bahamas, The",BHS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,10266.4632914854,20276.4323566355,25044.9502007782,27716.6566194885,26079.2070624663,25734.3630779149,28564.4205920953,22404.7768487323
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,5200265957.44681,6349202393.61702,8976196808.51064,15968723404.2553,22938218085.1064,32539468085.1064,35473776595.7447,34723357446.8085
Bahrain,BHR,"Population, total",SP.POP.TOTL,536212,594927,697550,889157,1185075,1315029,1494077,1701583
Bahrain,BHR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,6511.86589796584,7434.03335811646,9028.80128694193,12414.797882027,13081.8943756854,16719.9433522293,18505.5827146805,15423.9237293933
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,33166519417.9894,48244309133.4895,53991289844.3291,69442943089.4309,102477791472.39,149990451022.29,293754646182.389,373902134700.41
Bangladesh,BGD,"Population, total",SP.POP.TOTL,110350641,120160571,130088709,139035505,145924795,152761413,159685421,164689383
Bangladesh,BGD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,284.227079978742,380.613295311187,393.779371464278,481.152185528345,697.986276706162,972.322999933183,1490.6915283444,2032.59399568833
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2063342117.03873,2498384129.66738,3054500000,3819500000,4465657314.64407,4677248301.89959,4981588899.82409,4689534961.75956
Barbados,BRB,"Population, total",SP.POP.TOTL,263869,268183,272494,276320,281107,284294,286229,287371
Barbados,BRB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,7015.2691459257,8205.01277922266,9770.30244191035,11841.0947086017,13615.7990892733,14043.2163523228,14801.8766030072,13003.3662705796
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,16280991735.5372,14128408565.7064,12354820143.8849,30207567316.6202,50874078052.2735,75527984234.2342,54726595249.1849,61489588894.8211
Belarus,BLR,"Population, total",SP.POP.TOTL,10239050,10117433,9928549,9663915,9504583,9443211,9458989,9379952
Belarus,BLR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,1185.40521579803,1070.64189948651,2703.83132931628,4525.76206660274,6562.33436288645,4751.75820739432,5148.3229130713
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,224721795708.955,252708051420.839,236746141604.37,385714762230.039,483254171097.812,521791015247.06,502764720556.354,521676942134.632
Belgium,BEL,"Population, total",SP.POP.TOTL,10084475,10181245,10286570,10478617,10796493,11159407,11375158,11544241
Belgium,BEL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,19163.5340717146,21438.4678960653,19518.908125774,30753.8150992693,36699.1612769517,38719.1740799608,36240.0579176753,36490.7377866622
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,560205300,654582900,871590369.32848,1111453823.62023,1320605471.63149,1581844936.42351,1844906692.53913,1585631670.3461
Belize,BLZ,"Population, total",SP.POP.TOTL,197625,221575,255068,283798,314655,345707,375775,397621
Belize,BLZ,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2553.24957869827,2697.64403599994,2633.17999878257,2893.61236675656,3088.1540553374,3351.62974674655,3797.46905306308,3219.7212181173
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,2274557914.07481,2268301537.65128,3666222600.09828,6567654493.50831,9738626993.27696,12517845732.2095,12701654743.2149,15651545331.5404
Benin,BEN,"Population, total",SP.POP.TOTL,5521761,6281644,7076728,7982223,8944713,10004594,11175192,12123198
Benin,BEN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,328.159009903404,263.504083808769,424.357224115416,704.997367764836,927.650730123401,1102.27389711219,1003.13166221777,1133.39984671112
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1820359900,2932827000,3680483000,4868136000,6656000000,6465756000,7142316000,6881662000
Bermuda,BMU,"Population, total",SP.POP.TOTL,58910,60497,62504,64154,65636,65001,63873,63893
Bermuda,BMU,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..,..,..,..,..
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,225998091.177435,352260952.905536,461444513.66815,796938120.181406,1234014291.82342,1756215665.09323,2450364928.07302,2315436303.29988
Bhutan,BTN,"Population, total",SP.POP.TOTL,532590,551713,603643,648744,678329,710235,745563,771612
Bhutan,BTN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,324.253693910261,514.005078804569,683.739194004307,1087.77345402791,1537.94883620575,2032.25821745474,2640.87278010304,2482.57459834552
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,5734676631.26304,7925673467.44571,8141537877.06791,9549077918.69677,17339992193.7322,30659338885.6729,37508642170.767,36629843806.0781
Bolivia,BOL,"Population, total",SP.POP.TOTL,7312857,7937453,8580244,9232301,9884790,10542375,11192853,11673029
Bolivia,BOL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,695.1029741532,893.93081104867,826.245292926642,818.161999962666,1464.30140512077,2263.06595776912,2802.57343821947,2676.57665595877
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,..,3671816504.23851,5800774707.17423,11222953328.6704,17613836494.0692,18172335776.3301,18079076426.8667,19955120004.6604
