,Country Name,Country Code,Series Name,YR1993,YR1997,YR2001,YR2005,YR2009,YR2013,YR2017,YR2020
154,Cyprus,CYP,POP,818750,891190,960274,1027657,1098089,1143866,1179685,1207361
155,Cyprus,CYP,INC,9012.384765625,11472.2919921875,11974.1357421875,20741.623046875,28203.197265625,23637.783203125,22639.234375,22557.154296875
156,Czechia,CZE,GDP,40866748705.1075,62180159376.1239,67808032979.5429,137143471328.274,207434296805.33,211685616592.931,218628940951.675,245339322066.759
157,Czechia,CZE,POP,10329855,10304131,10216605,10211216,10443936,10514272,10594438,10697858
158,Czechia,CZE,INC,3127.21808129029,4648.47869672616,5013.7735186194,10143.6717844523,14316.2072846475,14481.5823029915,15284.6015493123,17172.9272011104
159,Denmark,DNK,GDP,143195627014.605,173537647058.824,164791442543.375,264467336457.17,321241303699.006,343584391647.927,332121063806.391,356084867685.639
160,Denmark,DNK,POP,5188628,5284991,5358783,5419432,5523095,5614932,5764980,5831404
161,Denmark,DNK,INC,22305.7869017415,26622.0371710415,24788.1172236015,40314.9433840037,47483.3181852215,51794.6199290871,49134.6046223964,52666.348965617
162,Djibouti,DJI,GDP,466048469.22986,502675542.001227,572417440.820162,708633194.726566,1049110684.72493,2042817162.85639,2762581334.22612,3181071153.6622
163,Djibouti,DJI,POP,618504,660858,733019,783248,827820,883296,944100,988002
164,Djibouti,DJI,INC,771.077840138864,747.626621769208,767.478882325154,883.972540507056,1090.53795738717,1787.91657929279,2334.38553218754,2957.25781460276
165,Dominica,DMA,GDP,245525925.925926,302988888.888889,340203703.703704,364255555.555556,489074074.074074,498296296.296296,521551851.851852,504214814.814815
166,Dominica,DMA,POP,70818,70592,69671,70580,70848,71019,71460,71991
167,Dominica,DMA,INC,3205.96374713224,3842.16423284238,4200.95332406199,4352.06725641257,5803.19963282746,5545.15963007428,6064.62687660425,6112.48414450983
168,Dominican Republic,DOM,GDP,13081042400,20017480054.834,25601765400.5153,35777570135.5225,48261033298.2133,62682163837.347,79997975621.8654,78844702329.0785
169,Dominican Republic,DOM,POP,7546467,8084407,8598599,9097262,9576736,10048226,10513111,10847904
170,Dominican Republic,DOM,INC,1562.29585817134,2296.048730025,2782.5778882128,3540.14268084212,4651.93759415344,5617.79751134282,6825.55385782888,6398.80739739549
171,Ecuador,ECU,GDP,18938717358.6793,28162053026.5133,24468324000,41507085000,62519686000,95129659000,104295862000,99291124000
172,Ecuador,ECU,POP,10961460,11951457,12914660,13825839,14774412,15707473,16785356,17643060
173,Ecuador,ECU,INC,1385.71200351195,1902.86628284132,1448.54792601764,2178.90959377885,3367.42037187879,4842.57121124455,4906.52083791333,4184.17423664673
174,"Egypt, Arab Rep.",EGY,GDP,46578631452.581,78436578171.0914,96684636118.5984,89600665557.4043,189147005444.646,288434108527.132,235733695652.174,365252651278.852
175,"Egypt, Arab Rep.",EGY,POP,59880656,64892269,70152662,75523576,81134789,88404652,96442590,102334403
176,"Egypt, Arab Rep.",EGY,INC,675.535808339658,1074.95615568673,1254.70023559719,991.834353179156,2024.59309383201,2792.37853697904,2150.31222263113,3173.68222663711
177,El Salvador,SLV,GDP,6680269200,10221705900,12282533600,14698000000,17601620000,21990960000,24979190000,24638720000
178,El Salvador,SLV,POP,5490478,5746288,5927001,6052124,6157678,6266076,6388124,6486201
179,El Salvador,SLV,INC,1134.62922676638,1654.11473226751,1887.7751677257,2163.63056128847,2472.13656800097,2940.82279902264,3175.2231646177,3034.9217846019
180,Equatorial Guinea,GNQ,GDP,136047896.155778,442337849.474377,1461139022.02954,8217369092.65224,15027795173.2187,21948835350.3425,12200912828.3695,10099157269.8025
181,Equatorial Guinea,GNQ,POP,462637,536459,631662,749527,901589,1076412,1262008,1402985
182,Equatorial Guinea,GNQ,INC,246.089525379092,306.91493515961,..,-487.934092621018,4752.66393320342,5595.38767205377,4138.43266887424,3185.02221027451
183,Eritrea,ERI,GDP,467872714.755603,686490090.140141,752368495.512622,1098425900.74116,1856695551.21951,..,..,..
184,Eritrea,ERI,POP,2238631,2195192,2374721,2826653,3119920,..,..,..
185,Eritrea,ERI,INC,180.15778624884,255.631813440474,271.26393480399,338.175794081913,534.693334811886,..,..,..
186,Estonia,EST,GDP,..,5154420649.23354,6254649538.98487,14106790200.2239,19633031397.6104,25115753366.1114,26924385103.0659,30650285471.7215
187,Estonia,EST,POP,1494128,1399535,1388115,1354775,1334515,1317997,1317384,1329479
188,Estonia,EST,INC,..,..,3745.00216558982,8609.33964902718,11654.8776154195,15448.5141096156,16677.8873296365,19404.0684082732
189,Eswatini,SWZ,GDP,1357206995.74624,1716699913.19444,1542477308.89408,3178126491.90949,3580417066.92472,4597532029.70451,4402969225.92165,3984840580.40634
190,Eswatini,SWZ,POP,887706,963416,1013608,1030575,1057462,1086843,1124808,1160164
191,Eswatini,SWZ,INC,1364.3449400382,1664.22930719858,1398.6202171032,2847.12097153709,2833.93927822627,3458.00105468251,3052.91214733085,2530.51813368588
192,Ethiopia,ETH,GDP,8830712713.90781,8589211390.49612,8231326016.47494,12401139453.9738,32437389116.038,47648211133.2183,81770791970.982,107657734392.446
193,Ethiopia,ETH,POP,53295556,60697443,68159422,76346310,85233923,95385793,106399926,114963583
194,Ethiopia,ETH,INC,133.999895921778,96.1648339903295,91.0801353894095,111.076920618264,280.771141852402,371.046019258313,612.855291251288,807.714616881544
195,Faroe Islands,FRO,GDP,..,..,1162024799.34637,1754406443.32905,2295640657.35231,2677296440.7172,2969876872.28339,3240759988.99453
196,Faroe Islands,FRO,POP,46277,45789,46999,47731,47814,47901,48326,48865
197,Faroe Islands,FRO,INC,..,..,..,..,..,..,..,..
198,Fiji,FJI,GDP,1636074717.86224,2090184941.46983,1652464201.00149,2980484920.16558,2870624635.68032,4190143206.25611,5353404422.08138,4574413823.31243
199,Fiji,FJI,POP,754962,792736,813923,821606,853636,865602,877460,896444
200,Fiji,FJI,INC,1854.59261932895,2269.55432994312,1779.51788860988,3319.05100504988,3051.78311744496,4178.1150232609,4807.05525614382,4053.88712358801
201,Finland,FIN,GDP,89214114708.0254,126912152101.707,129533107311.811,204885494686.381,253497520828.515,271362405890.589,255647979916.471,271836962949.417
202,Finland,FIN,POP,5066447,5139835,5188008,5246096,5338871,5438972,5508214,5529543
203,Finland,FIN,INC,13110.8610533998,20039.8401982414,20626.7242802473,32374.4375181421,38722.425410738,40385.2363750885,37727.6621849029,39966.4068264468
204,France,FRA,GDP,1322815612694,1452884917959.09,1377657339291.34,2196945232435.8,2700887366932.03,2811876903329.03,2595151045197.65,2630317731455.26
205,France,FRA,POP,59106758,59964841,61357432,63179356,64707035,65998685,66918020,67379908
206,France,FRA,INC,18936.2777789697,20795.6774588633,19325.1766971105,29656.9396628608,35069.9120603733,35808.9386301244,32620.9812789291,31771.785967947
207,French Polynesia,PYF,GDP,3396259324.04045,3566672621.78482,..,..,..,..,5833351477.8985,5669368717.20724
208,French Polynesia,PYF,POP,210644,226854,244929,258780,265256,270332,276108,280904
209,French Polynesia,PYF,INC,..,..,..,..,..,..,..,..
210,Gabon,GAB,GDP,4378645081.01769,5326816858.99586,5023265365.25169,9582783318.3881,12113699660.6799,17595745653.3676,14929488770.7315,15316824039.3269
211,Gabon,GAB,POP,1029769,1141332,1258008,1390550,1568925,1817070,2064812,2225728
212,Gabon,GAB,INC,1833.55463489002,2250.45594045973,2123.43783519007,3238.2583753804,4208.7585973253,5204.76453488229,4576.50517362906,4337.42384388912
213,"Gambia, The",GMB,GDP,755042548.055824,803630742.53446,687408804.630527,1027702254.38664,1450140385.97229,1375608956.10386,1504909753.28746,1830412999.95922
214,"Gambia, The",GMB,POP,1060861,1200522,1360070,1543745,1740277,1963708,2213900,2416664
215,"Gambia, The",GMB,INC,585.59781598313,535.495030384563,396.588625213018,535.934226588637,644.02348500714,501.807927682857,486.491609622761,596.536441759881
216,Georgia,GEO,GDP,2701181331.30816,3510520231.21387,3219488663.77231,6410823633.25426,10766836276.5639,17189551520.9811,16242916915.7203,15842922532.7202
217,Georgia,GEO,POP,4911100,4349913,4014373,3902469,3814419,3717668,3728004,3722716
218,Georgia,GEO,INC,..,..,694.210237030821,1442.68250567145,2433.25698918588,3904.3378573814,3507.36651528469,3416.98368468215
219,Germany,DEU,GDP,2071323790370.28,2211989623279.95,1945790973803.15,2846864211175.1,3411261212652.34,3733804649549.03,3690849152517.65,3846413928653.71
