,Year,Datetime,Home Team Name,Away Team Name,Home Team Goals,Away Team Goals
214,1970,07 Jun 1970 - 12:00 ,Brazil,England,1.0,0.0
215,1970,07 Jun 1970 - 12:00 ,Mexico,El Salvador,4.0,0.0
216,1970,10 Jun 1970 - 16:00 ,Sweden,Uruguay,1.0,0.0
217,1970,10 Jun 1970 - 16:00 ,Germany FR,Peru,3.0,1.0
218,1970,10 Jun 1970 - 16:00 ,Brazil,Romania,3.0,2.0
219,1970,10 Jun 1970 - 16:00 ,Soviet Union,El Salvador,2.0,0.0
220,1970,11 Jun 1970 - 16:00 ,Italy,Israel,0.0,0.0
221,1970,11 Jun 1970 - 16:00 ,Bulgaria,Morocco,1.0,1.0
222,1970,11 Jun 1970 - 16:00 ,England,Czechoslovakia,1.0,0.0
223,1970,11 Jun 1970 - 16:00 ,Mexico,Belgium,1.0,0.0
224,1970,14 Jun 1970 - 12:00 ,Italy,Mexico,4.0,1.0
225,1970,14 Jun 1970 - 12:00 ,Germany FR,England,3.0,2.0
226,1970,14 Jun 1970 - 12:00 ,Brazil,Peru,4.0,2.0
227,1970,14 Jun 1970 - 12:00 ,Uruguay,Soviet Union,1.0,0.0
228,1970,17 Jun 1970 - 16:00 ,Brazil,Uruguay,3.0,1.0
229,1970,17 Jun 1970 - 16:00 ,Italy,Germany FR,4.0,3.0
230,1970,20 Jun 1970 - 16:00 ,Germany FR,Uruguay,1.0,0.0
231,1970,21 Jun 1970 - 12:00 ,Brazil,Italy,4.0,1.0
232,1974,13 Jun 1974 - 17:00 ,Brazil,Yugoslavia,0.0,0.0
233,1974,14 Jun 1974 - 16:00 ,Germany FR,Chile,1.0,0.0
234,1974,14 Jun 1974 - 19:30 ,German DR,Australia,2.0,0.0
235,1974,14 Jun 1974 - 19:30 ,Zaire,Scotland,0.0,2.0
236,1974,15 Jun 1974 - 16:00 ,Uruguay,Netherlands,0.0,2.0
237,1974,15 Jun 1974 - 16:00 ,Sweden,Bulgaria,0.0,0.0
238,1974,15 Jun 1974 - 18:00 ,Italy,Haiti,3.0,1.0
239,1974,15 Jun 1974 - 18:00 ,Poland,Argentina,3.0,2.0
240,1974,18 Jun 1974 - 16:00 ,Australia,Germany FR,0.0,3.0
241,1974,18 Jun 1974 - 19:30 ,Scotland,Brazil,0.0,0.0
242,1974,18 Jun 1974 - 19:30 ,Chile,German DR,1.0,1.0
243,1974,18 Jun 1974 - 19:30 ,Yugoslavia,Zaire,9.0,0.0
244,1974,19 Jun 1974 - 19:30 ,Netherlands,Sweden,0.0,0.0
245,1974,19 Jun 1974 - 19:30 ,Bulgaria,Uruguay,1.0,1.0
246,1974,19 Jun 1974 - 19:30 ,Haiti,Poland,0.0,7.0
247,1974,19 Jun 1974 - 19:30 ,Argentina,Italy,1.0,1.0
248,1974,22 Jun 1974 - 16:00 ,Scotland,Yugoslavia,1.0,1.0
249,1974,22 Jun 1974 - 16:00 ,Australia,Chile,0.0,0.0
250,1974,22 Jun 1974 - 16:00 ,Zaire,Brazil,0.0,3.0
251,1974,22 Jun 1974 - 19:30 ,German DR,Germany FR,1.0,0.0
252,1974,23 Jun 1974 - 16:00 ,Bulgaria,Netherlands,1.0,4.0
253,1974,23 Jun 1974 - 16:00 ,Argentina,Haiti,4.0,1.0
254,1974,23 Jun 1974 - 16:00 ,Sweden,Uruguay,3.0,0.0
255,1974,23 Jun 1974 - 16:00 ,Poland,Italy,2.0,1.0
256,1974,26 Jun 1974 - 16:00 ,Yugoslavia,Germany FR,0.0,2.0
257,1974,26 Jun 1974 - 19:30 ,Brazil,German DR,1.0,0.0
258,1974,26 Jun 1974 - 19:30 ,Netherlands,Argentina,4.0,0.0
259,1974,26 Jun 1974 - 19:30 ,Sweden,Poland,0.0,1.0
260,1974,30 Jun 1974 - 16:00 ,Argentina,Brazil,1.0,2.0
261,1974,30 Jun 1974 - 16:00 ,Poland,Yugoslavia,2.0,1.0
262,1974,30 Jun 1974 - 16:00 ,German DR,Netherlands,0.0,2.0
263,1974,30 Jun 1974 - 19:30 ,Germany FR,Sweden,4.0,2.0
264,1974,03 Jul 1974 - 17:00 ,Poland,Germany FR,0.0,1.0
265,1974,03 Jul 1974 - 19:30 ,Netherlands,Brazil,2.0,0.0
266,1974,03 Jul 1974 - 19:30 ,Argentina,German DR,1.0,1.0
267,1974,03 Jul 1974 - 19:30 ,Sweden,Yugoslavia,2.0,1.0
268,1974,06 Jul 1974 - 16:00 ,Brazil,Poland,0.0,1.0
269,1974,07 Jul 1974 - 16:00 ,Netherlands,Germany FR,1.0,2.0
270,1978,01 Jun 1978 - 15:00 ,Germany FR,Poland,0.0,0.0
271,1978,02 Jun 1978 - 13:45 ,Italy,France,2.0,1.0
272,1978,02 Jun 1978 - 16:45 ,Tunisia,Mexico,3.0,1.0
273,1978,02 Jun 1978 - 19:15 ,Argentina,Hungary,2.0,1.0
274,1978,03 Jun 1978 - 13:45 ,Sweden,Brazil,1.0,1.0
275,1978,03 Jun 1978 - 13:45 ,Austria,Spain,2.0,1.0
276,1978,03 Jun 1978 - 16:45 ,Peru,Scotland,3.0,1.0
277,1978,03 Jun 1978 - 16:45 ,Netherlands,IR Iran,3.0,0.0
278,1978,06 Jun 1978 - 13:45 ,Italy,Hungary,3.0,1.0
279,1978,06 Jun 1978 - 16:45 ,Poland,Tunisia,1.0,0.0
280,1978,06 Jun 1978 - 16:45 ,Germany FR,Mexico,6.0,0.0
281,1978,06 Jun 1978 - 19:15 ,Argentina,France,2.0,1.0
282,1978,07 Jun 1978 - 13:45 ,Brazil,Spain,0.0,0.0
283,1978,07 Jun 1978 - 13:45 ,Austria,Sweden,1.0,0.0
284,1978,07 Jun 1978 - 16:45 ,Scotland,IR Iran,1.0,1.0
285,1978,07 Jun 1978 - 16:45 ,Netherlands,Peru,0.0,0.0
286,1978,10 Jun 1978 - 15:10 ,France,Hungary,3.0,1.0
287,1978,10 Jun 1978 - 16:45 ,Poland,Mexico,3.0,1.0
288,1978,10 Jun 1978 - 16:45 ,Germany FR,Tunisia,0.0,0.0
289,1978,10 Jun 1978 - 19:15 ,Italy,Argentina,1.0,0.0
290,1978,11 Jun 1978 - 13:45 ,Brazil,Austria,1.0,0.0
291,1978,11 Jun 1978 - 13:45 ,Spain,Sweden,1.0,0.0
292,1978,11 Jun 1978 - 16:45 ,Peru,Iran,4.0,1.0
293,1978,11 Jun 1978 - 16:45 ,Scotland,Netherlands,3.0,2.0
294,1978,14 Jun 1978 - 13:45 ,Germany FR,Italy,0.0,0.0
295,1978,14 Jun 1978 - 13:45 ,Netherlands,Austria,5.0,1.0
296,1978,14 Jun 1978 - 16:45 ,Brazil,Peru,3.0,0.0
297,1978,14 Jun 1978 - 19:15 ,Argentina,Poland,2.0,0.0
298,1978,18 Jun 1978 - 13:45 ,Poland,Peru,1.0,0.0
299,1978,18 Jun 1978 - 16:45 ,Italy,Austria,1.0,0.0
300,1978,18 Jun 1978 - 16:45 ,Germany FR,Netherlands,2.0,2.0
301,1978,18 Jun 1978 - 19:15 ,Argentina,Brazil,0.0,0.0
302,1978,21 Jun 1978 - 13:45 ,Netherlands,Italy,2.0,1.0
303,1978,21 Jun 1978 - 13:45 ,Austria,Germany FR,3.0,2.0
304,1978,21 Jun 1978 - 16:45 ,Brazil,Poland,3.0,1.0
305,1978,21 Jun 1978 - 19:15 ,Argentina,Peru,6.0,0.0
306,1978,24 Jun 1978 - 15:00 ,Brazil,Italy,2.0,1.0
307,1978,25 Jun 1978 - 15:00 ,Argentina,Netherlands,3.0,1.0
308,1982,13 Jun 1982 - 20:00 ,Argentina,Belgium,0.0,1.0
309,1982,14 Jun 1982 - 17:15 ,Italy,Poland,0.0,0.0
310,1982,14 Jun 1982 - 21:00 ,Brazil,Soviet Union,2.0,1.0
311,1982,15 Jun 1982 - 17:15 ,Peru,Cameroon,0.0,0.0
312,1982,15 Jun 1982 - 21:00 ,Hungary,El Salvador,10.0,1.0
313,1982,15 Jun 1982 - 21:00 ,Scotland,New Zealand,5.0,2.0
314,1982,16 Jun 1982 - 17:15 ,Germany FR,Algeria,1.0,2.0
315,1982,16 Jun 1982 - 17:15 ,England,France,3.0,1.0
316,1982,16 Jun 1982 - 21:00 ,Spain,Honduras,1.0,1.0
317,1982,17 Jun 1982 - 17:15 ,Chile,Austria,0.0,1.0
318,1982,17 Jun 1982 - 17:45 ,Czechoslovakia,Kuwait,1.0,1.0
319,1982,17 Jun 1982 - 21:00 ,Yugoslavia,Northern Ireland,0.0,0.0
320,1982,18 Jun 1982 - 17:15 ,Italy,Peru,1.0,1.0
321,1982,18 Jun 1982 - 21:00 ,Argentina,Hungary,4.0,1.0
322,1982,18 Jun 1982 - 21:00 ,Brazil,Scotland,4.0,1.0
323,1982,19 Jun 1982 - 19:15 ,Poland,Cameroon,0.0,0.0
324,1982,19 Jun 1982 - 21:00 ,Belgium,El Salvador,1.0,0.0
325,1982,19 Jun 1982 - 21:00 ,Soviet Union,New Zealand,3.0,0.0
326,1982,20 Jun 1982 - 17:15 ,Germany FR,Chile,4.0,1.0
327,1982,20 Jun 1982 - 17:15 ,England,Czechoslovakia,2.0,0.0
328,1982,20 Jun 1982 - 21:00 ,Spain,Yugoslavia,2.0,1.0
329,1982,21 Jun 1982 - 17:15 ,Algeria,Austria,0.0,2.0
330,1982,21 Jun 1982 - 17:15 ,France,Kuwait,4.0,1.0
331,1982,21 Jun 1982 - 21:00 ,Honduras,Northern Ireland,1.0,1.0
332,1982,22 Jun 1982 - 17:15 ,Poland,Peru,5.0,1.0
333,1982,22 Jun 1982 - 21:00 ,Belgium,Hungary,1.0,1.0
334,1982,22 Jun 1982 - 21:00 ,Soviet Union,Scotland,2.0,2.0
335,1982,23 Jun 1982 - 17:15 ,Italy,Cameroon,1.0,1.0
336,1982,23 Jun 1982 - 21:00 ,Argentina,El Salvador,2.0,0.0
337,1982,23 Jun 1982 - 21:00 ,Brazil,New Zealand,4.0,0.0
338,1982,24 Jun 1982 - 17:15 ,Algeria,Chile,3.0,2.0
339,1982,24 Jun 1982 - 17:15 ,France,Czechoslovakia,1.0,1.0
340,1982,24 Jun 1982 - 21:00 ,Honduras,Yugoslavia,0.0,1.0
341,1982,25 Jun 1982 - 17:15 ,Germany FR,Austria,1.0,0.0
342,1982,25 Jun 1982 - 17:15 ,England,Kuwait,1.0,0.0
343,1982,25 Jun 1982 - 21:00 ,Northern Ireland,Spain,1.0,0.0
344,1982,28 Jun 1982 - 17:15 ,Austria,France,0.0,1.0
345,1982,28 Jun 1982 - 21:00 ,Poland,Belgium,3.0,0.0
346,1982,29 Jun 1982 - 17:15 ,Italy,Argentina,2.0,1.0
347,1982,29 Jun 1982 - 21:00 ,Germany FR,England,0.0,0.0
348,1982,01 Jul 1982 - 17:15 ,Austria,Northern Ireland,2.0,2.0
349,1982,01 Jul 1982 - 21:00 ,Belgium,Soviet Union,0.0,1.0
350,1982,02 Jul 1982 - 17:15 ,Argentina,Brazil,1.0,3.0
351,1982,02 Jul 1982 - 21:00 ,Germany FR,Spain,2.0,1.0
352,1982,04 Jul 1982 - 17:15 ,France,Northern Ireland,4.0,1.0
353,1982,04 Jul 1982 - 21:00 ,Poland,Soviet Union,0.0,0.0
354,1982,05 Jul 1982 - 17:15 ,Italy,Brazil,3.0,2.0
355,1982,05 Jul 1982 - 21:00 ,Spain,England,0.0,0.0
356,1982,08 Jul 1982 - 17:15 ,Poland,Italy,0.0,2.0
357,1982,08 Jul 1982 - 21:00 ,Germany FR,France,3.0,3.0
358,1982,10 Jul 1982 - 20:00 ,Poland,France,3.0,2.0
359,1982,11 Jul 1982 - 20:00 ,Italy,Germany FR,3.0,1.0
360,1986,31 May 1986 - 12:00 ,Bulgaria,Italy,1.0,1.0
361,1986,01 Jun 1986 - 16:00 ,Canada,France,0.0,1.0
362,1986,01 Jun 1986 - 12:00 ,Spain,Brazil,0.0,1.0
363,1986,02 Jun 1986 - 12:00 ,Soviet Union,Hungary,6.0,0.0
364,1986,02 Jun 1986 - 12:00 ,Argentina,Korea Republic,3.0,1.0
365,1986,02 Jun 1986 - 16:00 ,Morocco,Poland,0.0,0.0
366,1986,03 Jun 1986 - 12:00 ,Algeria,Northern Ireland,1.0,1.0
367,1986,03 Jun 1986 - 12:00 ,Belgium,Mexico,1.0,2.0
368,1986,03 Jun 1986 - 16:00 ,Portugal,England,1.0,0.0
369,1986,04 Jun 1986 - 12:00 ,Paraguay,Iraq,1.0,0.0
370,1986,04 Jun 1986 - 16:00 ,Scotland,Denmark,0.0,1.0
371,1986,04 Jun 1986 - 12:00 ,Uruguay,Germany FR,1.0,1.0
372,1986,05 Jun 1986 - 12:00 ,Italy,Argentina,1.0,1.0
373,1986,05 Jun 1986 - 12:00 ,France,Soviet Union,1.0,1.0
374,1986,05 Jun 1986 - 16:00 ,Korea Republic,Bulgaria,1.0,1.0
375,1986,06 Jun 1986 - 12:00 ,Hungary,Canada,2.0,0.0
376,1986,06 Jun 1986 - 12:00 ,Brazil,Algeria,1.0,0.0
377,1986,06 Jun 1986 - 16:00 ,England,Morocco,0.0,0.0
378,1986,07 Jun 1986 - 12:00 ,Northern Ireland,Spain,1.0,2.0
379,1986,07 Jun 1986 - 12:00 ,Mexico,Paraguay,1.0,1.0
380,1986,07 Jun 1986 - 16:00 ,Poland,Portugal,1.0,0.0
381,1986,08 Jun 1986 - 12:00 ,Iraq,Belgium,1.0,2.0
382,1986,08 Jun 1986 - 16:00 ,Denmark,Uruguay,6.0,1.0
383,1986,08 Jun 1986 - 12:00 ,Germany FR,Scotland,2.0,1.0
384,1986,09 Jun 1986 - 12:00 ,Hungary,France,0.0,3.0
385,1986,09 Jun 1986 - 12:00 ,Soviet Union,Canada,2.0,0.0
386,1986,10 Jun 1986 - 12:00 ,Korea Republic,Italy,2.0,3.0
387,1986,10 Jun 1986 - 12:00 ,Argentina,Bulgaria,2.0,0.0
388,1986,11 Jun 1986 - 12:00 ,Paraguay,Belgium,2.0,2.0
389,1986,11 Jun 1986 - 12:00 ,Iraq,Mexico,0.0,1.0
390,1986,11 Jun 1986 - 16:00 ,Portugal,Morocco,1.0,3.0
391,1986,11 Jun 1986 - 16:00 ,England,Poland,3.0,0.0
392,1986,12 Jun 1986 - 12:00 ,Northern Ireland,Brazil,0.0,3.0
393,1986,12 Jun 1986 - 12:00 ,Algeria,Spain,0.0,3.0
394,1986,13 Jun 1986 - 12:00 ,Scotland,Uruguay,0.0,0.0
395,1986,13 Jun 1986 - 12:00 ,Denmark,Germany FR,2.0,0.0
396,1986,15 Jun 1986 - 16:00 ,Soviet Union,Belgium,3.0,4.0
397,1986,15 Jun 1986 - 12:00 ,Mexico,Bulgaria,2.0,0.0
398,1986,16 Jun 1986 - 16:00 ,Argentina,Uruguay,1.0,0.0
399,1986,16 Jun 1986 - 12:00 ,Brazil,Poland,4.0,0.0
400,1986,17 Jun 1986 - 12:00 ,Italy,France,0.0,2.0
401,1986,17 Jun 1986 - 16:00 ,Morocco,Germany FR,0.0,1.0
402,1986,18 Jun 1986 - 12:00 ,England,Paraguay,3.0,0.0
403,1986,18 Jun 1986 - 16:00 ,Denmark,Spain,1.0,5.0
404,1986,21 Jun 1986 - 12:00 ,Brazil,France,1.0,1.0
405,1986,21 Jun 1986 - 16:00 ,Germany FR,Mexico,0.0,0.0
406,1986,22 Jun 1986 - 16:00 ,Spain,Belgium,1.0,1.0
407,1986,22 Jun 1986 - 12:00 ,Argentina,England,2.0,1.0
408,1986,25 Jun 1986 - 12:00 ,France,Germany FR,0.0,2.0
409,1986,25 Jun 1986 - 16:00 ,Argentina,Belgium,2.0,0.0
410,1986,28 Jun 1986 - 12:00 ,France,Belgium,4.0,2.0
411,1986,29 Jun 1986 - 12:00 ,Argentina,Germany FR,3.0,2.0
412,1990,08 Jun 1990 - 18:00 ,Argentina,Cameroon,0.0,1.0
413,1990,09 Jun 1990 - 17:00 ,Soviet Union,Romania,0.0,2.0
414,1990,09 Jun 1990 - 17:00 ,"rn"">United Arab Emirates",Colombia,0.0,2.0
415,1990,09 Jun 1990 - 21:00 ,Italy,Austria,1.0,0.0
416,1990,10 Jun 1990 - 17:00 ,USA,Czechoslovakia,1.0,5.0
417,1990,10 Jun 1990 - 21:00 ,Brazil,Sweden,2.0,1.0
418,1990,10 Jun 1990 - 21:00 ,Germany FR,Yugoslavia,4.0,1.0
419,1990,11 Jun 1990 - 17:00 ,Costa Rica,Scotland,1.0,0.0
420,1990,11 Jun 1990 - 21:00 ,England,"rn"">Republic of Ireland",1.0,1.0
421,1990,12 Jun 1990 - 17:00 ,Belgium,Korea Republic,2.0,0.0
422,1990,12 Jun 1990 - 21:00 ,Netherlands,Egypt,1.0,1.0
423,1990,13 Jun 1990 - 17:00 ,Uruguay,Spain,0.0,0.0
424,1990,13 Jun 1990 - 21:00 ,Argentina,Soviet Union,2.0,0.0
425,1990,14 Jun 1990 - 17:00 ,Cameroon,Romania,2.0,1.0
426,1990,14 Jun 1990 - 17:00 ,Yugoslavia,Colombia,1.0,0.0
427,1990,14 Jun 1990 - 21:00 ,Italy,USA,1.0,0.0
428,1990,15 Jun 1990 - 17:00 ,Austria,Czechoslovakia,0.0,1.0
429,1990,15 Jun 1990 - 21:00 ,Germany FR,"rn"">United Arab Emirates",5.0,1.0
430,1990,16 Jun 1990 - 17:00 ,Brazil,Costa Rica,1.0,0.0
431,1990,16 Jun 1990 - 21:00 ,Sweden,Scotland,1.0,2.0
432,1990,16 Jun 1990 - 21:00 ,England,Netherlands,0.0,0.0
433,1990,17 Jun 1990 - 17:00 ,"rn"">Republic of Ireland",Egypt,0.0,0.0
434,1990,17 Jun 1990 - 21:00 ,Korea Republic,Spain,1.0,3.0
435,1990,17 Jun 1990 - 21:00 ,Belgium,Uruguay,3.0,1.0
436,1990,18 Jun 1990 - 21:00 ,Argentina,Romania,1.0,1.0
437,1990,18 Jun 1990 - 21:00 ,Cameroon,Soviet Union,0.0,4.0
438,1990,19 Jun 1990 - 17:00 ,Germany FR,Colombia,1.0,1.0
439,1990,19 Jun 1990 - 17:00 ,Yugoslavia,"rn"">United Arab Emirates",4.0,1.0
440,1990,19 Jun 1990 - 21:00 ,Italy,Czechoslovakia,2.0,0.0
441,1990,19 Jun 1990 - 21:00 ,Austria,USA,2.0,1.0
442,1990,20 Jun 1990 - 21:00 ,Brazil,Scotland,1.0,0.0
443,1990,20 Jun 1990 - 21:00 ,Sweden,Costa Rica,1.0,2.0
444,1990,21 Jun 1990 - 17:00 ,Korea Republic,Uruguay,0.0,1.0
445,1990,21 Jun 1990 - 17:00 ,Belgium,Spain,1.0,2.0
446,1990,21 Jun 1990 - 21:00 ,"rn"">Republic of Ireland",Netherlands,1.0,1.0
447,1990,21 Jun 1990 - 21:00 ,England,Egypt,1.0,0.0
448,1990,23 Jun 1990 - 17:00 ,Cameroon,Colombia,2.0,1.0
449,1990,23 Jun 1990 - 21:00 ,Czechoslovakia,Costa Rica,4.0,1.0
450,1990,24 Jun 1990 - 17:00 ,Brazil,Argentina,0.0,1.0
451,1990,24 Jun 1990 - 21:00 ,Germany FR,Netherlands,2.0,1.0
452,1990,25 Jun 1990 - 17:00 ,"rn"">Republic of Ireland",Romania,0.0,0.0
453,1990,25 Jun 1990 - 21:00 ,Italy,Uruguay,2.0,0.0
454,1990,26 Jun 1990 - 17:00 ,Spain,Yugoslavia,1.0,2.0
455,1990,26 Jun 1990 - 21:00 ,England,Belgium,1.0,0.0
456,1990,30 Jun 1990 - 17:00 ,Yugoslavia,Argentina,0.0,0.0
457,1990,30 Jun 1990 - 21:00 ,Italy,"rn"">Republic of Ireland",1.0,0.0
458,1990,01 Jul 1990 - 17:00 ,Germany FR,Czechoslovakia,1.0,0.0
459,1990,01 Jul 1990 - 21:00 ,England,Cameroon,3.0,2.0
460,1990,03 Jul 1990 - 20:00 ,Italy,Argentina,1.0,1.0
461,1990,04 Jul 1990 - 20:00 ,Germany FR,England,1.0,1.0
462,1990,07 Jul 1990 - 20:00 ,Italy,England,2.0,1.0
463,1990,08 Jul 1990 - 20:00 ,Germany FR,Argentina,1.0,0.0
464,1994,17 Jun 1994 - 19:30 ,Spain,Korea Republic,2.0,2.0
465,1994,17 Jun 1994 - 15:00 ,Germany,Bolivia,1.0,0.0
466,1994,18 Jun 1994 - 11:30 ,USA,Switzerland,1.0,1.0
467,1994,18 Jun 1994 - 16:00 ,Italy,"rn"">Republic of Ireland",0.0,1.0
468,1994,18 Jun 1994 - 19:30 ,Colombia,Romania,1.0,3.0
469,1994,19 Jun 1994 - 12:30 ,Belgium,Morocco,1.0,0.0
470,1994,19 Jun 1994 - 16:00 ,Norway,Mexico,1.0,0.0
471,1994,19 Jun 1994 - 19:30 ,Cameroon,Sweden,2.0,2.0
472,1994,20 Jun 1994 - 19:30 ,Netherlands,Saudi Arabia,2.0,1.0
473,1994,20 Jun 1994 - 16:00 ,Brazil,Russia,2.0,0.0
474,1994,21 Jun 1994 - 12:30 ,Argentina,Greece,4.0,0.0
475,1994,21 Jun 1994 - 19:30 ,Nigeria,Bulgaria,3.0,0.0
476,1994,21 Jun 1994 - 16:00 ,Germany,Spain,1.0,1.0
477,1994,22 Jun 1994 - 16:00 ,Romania,Switzerland,1.0,4.0
478,1994,22 Jun 1994 - 19:30 ,USA,Colombia,2.0,1.0
479,1994,23 Jun 1994 - 16:00 ,Italy,Norway,1.0,0.0
480,1994,23 Jun 1994 - 19:30 ,Korea Republic,Bolivia,0.0,0.0
481,1994,24 Jun 1994 - 12:30 ,Mexico,"rn"">Republic of Ireland",2.0,1.0
482,1994,24 Jun 1994 - 19:30 ,Sweden,Russia,3.0,1.0
483,1994,24 Jun 1994 - 16:00 ,Brazil,Cameroon,3.0,0.0
484,1994,25 Jun 1994 - 12:30 ,Belgium,Netherlands,1.0,0.0
485,1994,25 Jun 1994 - 12:30 ,Saudi Arabia,Morocco,2.0,1.0
486,1994,25 Jun 1994 - 16:00 ,Argentina,Nigeria,2.0,1.0
487,1994,26 Jun 1994 - 12:30 ,Bulgaria,Greece,4.0,0.0
488,1994,26 Jun 1994 - 16:00 ,USA,Romania,0.0,1.0
489,1994,26 Jun 1994 - 16:00 ,Switzerland,Colombia,0.0,2.0
490,1994,27 Jun 1994 - 16:00 ,Germany,Korea Republic,3.0,2.0
491,1994,27 Jun 1994 - 16:00 ,Bolivia,Spain,1.0,3.0
492,1994,28 Jun 1994 - 12:30 ,"rn"">Republic of Ireland",Norway,0.0,0.0
493,1994,28 Jun 1994 - 16:00 ,Brazil,Sweden,1.0,1.0
494,1994,28 Jun 1994 - 12:30 ,Italy,Mexico,1.0,1.0
495,1994,28 Jun 1994 - 16:00 ,Russia,Cameroon,6.0,1.0
496,1994,29 Jun 1994 - 12:30 ,Morocco,Netherlands,1.0,2.0
497,1994,29 Jun 1994 - 12:30 ,Belgium,Saudi Arabia,0.0,1.0
498,1994,30 Jun 1994 - 19:30 ,Greece,Nigeria,0.0,2.0
499,1994,30 Jun 1994 - 19:30 ,Argentina,Bulgaria,0.0,2.0
500,1994,02 Jul 1994 - 12:00 ,Germany,Belgium,3.0,2.0
501,1994,02 Jul 1994 - 16:30 ,Spain,Switzerland,3.0,0.0
502,1994,03 Jul 1994 - 12:00 ,Saudi Arabia,Sweden,1.0,3.0
503,1994,03 Jul 1994 - 13:30 ,Romania,Argentina,3.0,2.0
504,1994,04 Jul 1994 - 12:00 ,Netherlands,"rn"">Republic of Ireland",2.0,0.0
505,1994,04 Jul 1994 - 12:30 ,Brazil,USA,1.0,0.0
506,1994,05 Jul 1994 - 13:00 ,Nigeria,Italy,1.0,2.0
507,1994,05 Jul 1994 - 16:30 ,Mexico,Bulgaria,1.0,1.0
508,1994,09 Jul 1994 - 12:00 ,Italy,Spain,2.0,1.0
509,1994,09 Jul 1994 - 14:30 ,Netherlands,Brazil,2.0,3.0
510,1994,10 Jul 1994 - 12:00 ,Bulgaria,Germany,2.0,1.0
511,1994,10 Jul 1994 - 12:30 ,Romania,Sweden,2.0,2.0
512,1994,13 Jul 1994 - 16:00 ,Bulgaria,Italy,1.0,2.0
513,1994,13 Jul 1994 - 16:30 ,Sweden,Brazil,0.0,1.0
514,1994,16 Jul 1994 - 12:30 ,Sweden,Bulgaria,4.0,0.0
515,1994,17 Jul 1994 - 12:30 ,Brazil,Italy,0.0,0.0
516,1998,10 Jun 1998 - 17:30 ,Brazil,Scotland,2.0,1.0
517,1998,10 Jun 1998 - 21:00 ,Morocco,Norway,2.0,2.0
518,1998,11 Jun 1998 - 17:30 ,Italy,Chile,2.0,2.0
519,1998,11 Jun 1998 - 21:00 ,Cameroon,Austria,1.0,1.0
520,1998,12 Jun 1998 - 14:30 ,Paraguay,Bulgaria,0.0,0.0
521,1998,12 Jun 1998 - 17:30 ,Saudi Arabia,Denmark,0.0,1.0
522,1998,12 Jun 1998 - 21:00 ,France,South Africa,3.0,0.0
523,1998,13 Jun 1998 - 14:30 ,Spain,Nigeria,2.0,3.0
524,1998,13 Jun 1998 - 17:30 ,Korea Republic,Mexico,1.0,3.0
525,1998,13 Jun 1998 - 21:00 ,Netherlands,Belgium,0.0,0.0
526,1998,14 Jun 1998 - 14:30 ,Argentina,Japan,1.0,0.0
527,1998,14 Jun 1998 - 17:30 ,Yugoslavia,Iran,1.0,0.0
528,1998,14 Jun 1998 - 21:00 ,Jamaica,Croatia,1.0,3.0
529,1998,15 Jun 1998 - 14:30 ,England,Tunisia,2.0,0.0
530,1998,15 Jun 1998 - 17:30 ,Romania,Colombia,1.0,0.0
531,1998,15 Jun 1998 - 21:00 ,Germany,USA,2.0,0.0
532,1998,16 Jun 1998 - 17:30 ,Scotland,Norway,1.0,1.0
533,1998,16 Jun 1998 - 21:00 ,Brazil,Morocco,3.0,0.0
534,1998,17 Jun 1998 - 17:30 ,Chile,Austria,1.0,1.0
535,1998,17 Jun 1998 - 21:00 ,Italy,Cameroon,3.0,0.0
536,1998,18 Jun 1998 - 17:30 ,South Africa,Denmark,1.0,1.0
537,1998,18 Jun 1998 - 21:00 ,France,Saudi Arabia,4.0,0.0
538,1998,19 Jun 1998 - 17:30 ,Nigeria,Bulgaria,1.0,0.0
539,1998,19 Jun 1998 - 21:00 ,Spain,Paraguay,0.0,0.0
540,1998,20 Jun 1998 - 14:30 ,Japan,Croatia,0.0,1.0
541,1998,20 Jun 1998 - 17:30 ,Belgium,Mexico,2.0,2.0
542,1998,20 Jun 1998 - 21:00 ,Netherlands,Korea Republic,5.0,0.0
543,1998,21 Jun 1998 - 14:30 ,Germany,Yugoslavia,2.0,2.0
544,1998,21 Jun 1998 - 17:30 ,Argentina,Jamaica,5.0,0.0
545,1998,21 Jun 1998 - 21:00 ,USA,Iran,1.0,2.0
546,1998,22 Jun 1998 - 17:30 ,Colombia,Tunisia,1.0,0.0
547,1998,22 Jun 1998 - 21:00 ,Romania,England,2.0,1.0
548,1998,23 Jun 1998 - 16:00 ,Italy,Austria,2.0,1.0
549,1998,23 Jun 1998 - 16:00 ,Chile,Cameroon,1.0,1.0
550,1998,23 Jun 1998 - 21:00 ,Scotland,Morocco,0.0,3.0
551,1998,23 Jun 1998 - 21:00 ,Brazil,Norway,1.0,2.0
552,1998,24 Jun 1998 - 16:00 ,France,Denmark,2.0,1.0
553,1998,24 Jun 1998 - 16:00 ,South Africa,Saudi Arabia,2.0,2.0
554,1998,24 Jun 1998 - 21:00 ,Spain,Bulgaria,6.0,1.0
555,1998,24 Jun 1998 - 21:00 ,Nigeria,Paraguay,1.0,3.0
556,1998,25 Jun 1998 - 16:00 ,Belgium,Korea Republic,1.0,1.0
557,1998,25 Jun 1998 - 16:00 ,Netherlands,Mexico,2.0,2.0
558,1998,25 Jun 1998 - 21:00 ,Germany,Iran,2.0,0.0
