,Year,Datetime,Home Team Name,Away Team Name,Home Team Goals,Away Team Goals
907,2018,03 Jul 2018 - 21:00,Colombia,England,1.0,1.0
908,2018,06 Jul 2018 - 17:00,Uruguay,France,0.0,2.0
909,2018,06 Jul 2018 - 21:00,Brazil,Belgium,1.0,2.0
910,2018,07 Jul 2018 - 18:00,Sweden,England,0.0,2.0
911,2018,07 Jul 2018 - 21:00,Russia,Croatia,2.0,2.0
912,2018,10 Jul 2018 - 21:00,France,Belgium,1.0,0.0
913,2018,11 Jul 2018 - 21:00,Croatia,England,2.0,1.0
914,2018,14 Jul 2018 - 17:00,Belgium,England,2.0,0.0
915,2018,15 Jul 2018 - 18:00,France,Croatia,4.0,2.0
916,2022,20 Nov 2022 - 19:00,Qatar,Ecuador,,
917,2022,21 Nov 2022 - 19:00,Senegal,Netherlands,,
918,2022,21 Nov 2022 - 16:00,England,Iran,,
919,2022,21 Nov 2022 - 22:00,United States,Wales,,
920,2022,22 Nov 2022 - 22:00,France,Australia,,
921,2022,22 Nov 2022 - 16:00,Denmark,Tunisia,,
922,2022,22 Nov 2022 - 19:00,Mexico,Poland,,
923,2022,22 Nov 2022 - 13:00,Argentina,Saudi Arabia,,
924,2022,23 Nov 2022 - 22:00,Belgium,Canada,,
925,2022,23 Nov 2022 - 19:00,Spain,Costa Rica,,
926,2022,23 Nov 2022 - 16:00,Germany,Japan,,
927,2022,23 Nov 2022 - 13:00,Morocco,Croatia,,
928,2022,24 Nov 2022 - 13:00,Switzerland,Cameroon,,
929,2022,24 Nov 2022 - 16:00,Uruguay,"Korea, Rep.",,
930,2022,24 Nov 2022 - 19:00,Portugal,Ghana,,
931,2022,24 Nov 2022 - 22:00,Brazil,Serbia,,
932,2022,25 Nov 2022 - 13:00,Wales,Iran,,
933,2022,25 Nov 2022 - 16:00,Qatar,Senegal,,
934,2022,25 Nov 2022 - 19:00,Netherlands,Ecuador,,
935,2022,25 Nov 2022 - 22:00,England,United States,,
936,2022,26 Nov 2022 - 13:00,Tunisia,Australia,,
937,2022,26 Nov 2022 - 16:00,Poland,Saudi Arabia,,
938,2022,26 Nov 2022 - 19:00,France,Denmark,,
939,2022,26 Nov 2022 - 22:00,Argentina,Mexico,,
940,2022,27 Nov 2022 - 13:00,Japan,Costa Rica,,
941,2022,27 Nov 2022 - 16:00,Belgium,Morocco,,
942,2022,27 Nov 2022 - 19:00,Croatia,Canada,,
943,2022,27 Nov 2022 - 22:00,Spain,Germany,,
944,2022,28 Nov 2022 - 13:00,Cameroon,Serbia,,
945,2022,28 Nov 2022 - 16:00,"Korea, Rep.",Ghana,,
946,2022,28 Nov 2022 - 19:00,Brazil,Switzerland,,
947,2022,28 Nov 2022 - 22:00,Portugal,Uruguay,,
948,2022,29 Nov 2022 - 22:00,Wales,England,,
949,2022,29 Nov 2022 - 22:00,Iran,United States,,
950,2022,29 Nov 2022 - 18:00,Ecuador,Senegal,,
951,2022,29 Nov 2022 - 18:00,Netherlands,Qatar,,
952,2022,30 Nov 2022 - 18:00,Australia,Denmark,,
953,2022,30 Nov 2022 - 18:00,Tunisia,France,,
954,2022,30 Nov 2022 - 22:00,Poland,Argentina,,
955,2022,30 Nov 2022 - 22:00,Saudi Arabia,Mexico,,
956,2022,01 Dec 2022 - 18:00,Croatia,Belgium,,
957,2022,01 Dec 2022 - 18:00,Canada,Morocco,,
958,2022,01 Dec 2022 - 22:00,Japan,Spain,,
959,2022,01 Dec 2022 - 22:00,Costa Rica,Germany,,
960,2022,02 Dec 2022 - 18:00,Ghana,Uruguay,,
961,2022,02 Dec 2022 - 18:00,"Korea, Rep.",Portugal,,
962,2022,02 Dec 2022 - 22:00,Serbia,Switzerland,,
963,2022,02 Dec 2022 - 22:00,Cameroon,Brazil,,
