,Year,Datetime,Home Team Name,Away Team Name,Home Team Continent,Away Team Continent,Home_GDP,Home_POP,Home_INC,Away_GDP,Away_POP,Away_INC,Home_RK,Away_RK,Home_Rating,Away_Rating,Home_AverageRank,Away_AverageRank,Home_AverageRating,Away_AverageRating,Home_YearRank,Away_YearRank,Home_YearRating,Away_YearRating,Home_MatchesTotal,Away_MatchesTotal,Home_MathcesHome,Away_MathcesHome,Home_MatchesAway,Away_MatchesAway,Home_MatchesNeutral,Away_MatchesNeutral,Home_MatchesWins,Away_MatchesWins,Home_MatchesLosses,Away_MatchesLosses,Home_MatchesDraws,Away_MatchesDraws,Home_GoalsFor,Away_GoalsFor,Home_GoalsAgainst,Away_GoalsAgainst,Home_FIFA_RK,Away_FIFA_RK,Home_FIFA_PTS,Away_FIFA_PTS,Home Team Goals,Away Team Goals
12,1994,1994-06-21 16:00:00,Germany,Spain,Europe,Europe,2071323790370.28,81156363.0,21217.5746154056,525075636030.854,39361262.0,11566.0964820188,1.0,9.0,2015.0,1912.0,9.0,8.0,1883.0,1912.0,2.0,7.0,21.0,82.0,612.0,379.0,269.0,179.0,261.0,156.0,82.0,44.0,343.0,190.0,145.0,94.0,124.0,95.0,1378.0,695.0,786.0,408.0,1.0,5.0,60.0,56.0,1.0,1.0
13,1994,1994-06-22 16:00:00,Romania,Switzerland,Europe,Europe,26362894736.8421,22763280.0,847.00689191349,272466458446.129,6938265.0,,21.0,16.0,1827.0,1847.0,28.0,28.0,1689.0,1649.0,-3.0,3.0,2.0,29.0,446.0,549.0,183.0,270.0,232.0,255.0,31.0,24.0,184.0,166.0,152.0,276.0,110.0,107.0,728.0,793.0,657.0,1102.0,7.0,12.0,55.0,54.0,1.0,4.0
14,1994,1994-06-22 19:30:00,United States,Colombia,North America,South America,6858559000000.0,259919000.0,21808.806768977,66446804802.5747,35091272.0,1600.02476456049,54.0,5.0,1619.0,1933.0,47.0,66.0,1589.0,1477.0,-21.0,20.0,-68.0,158.0,284.0,235.0,130.0,85.0,125.0,84.0,29.0,66.0,87.0,72.0,138.0,100.0,59.0,63.0,347.0,274.0,545.0,367.0,23.0,17.0,47.0,51.0,2.0,1.0
15,1994,1994-06-23 16:00:00,Italy,Norway,Europe,Europe,1064958075550.63,56831821.0,15689.8087362547,120579072750.596,4311991.0,21149.9021087275,2.0,15.0,2000.0,1854.0,8.0,40.0,1901.0,1569.0,2.0,13.0,20.0,96.0,507.0,531.0,246.0,263.0,192.0,248.0,69.0,20.0,270.0,167.0,107.0,258.0,130.0,106.0,942.0,817.0,557.0,1093.0,4.0,6.0,57.0,56.0,1.0,0.0
16,1994,1994-06-23 19:30:00,"Korea, Rep.",Bolivia,Asia,South America,392666101884.959,44194628.0,7543.97746473454,5734676631.26304,7312857.0,695.1029741532,39.0,30.0,1659.0,1705.0,36.0,61.0,1663.0,1456.0,0.0,33.0,-1.0,155.0,550.0,208.0,139.0,75.0,140.0,66.0,271.0,67.0,330.0,49.0,100.0,117.0,120.0,42.0,1097.0,227.0,484.0,484.0,37.0,43.0,38.0,35.0,0.0,0.0
17,1994,1994-06-24 12:30:00,Mexico,Ireland,North America,Europe,500736065605.341,88625440.0,4903.9868187735,52417477613.676,3576261.0,11914.8153483704,10.0,19.0,1891.0,1841.0,22.0,22.0,1746.0,1590.0,14.0,-8.0,104.0,-49.0,428.0,401.0,173.0,199.0,142.0,182.0,113.0,20.0,219.0,126.0,108.0,190.0,101.0,85.0,823.0,529.0,461.0,826.0,16.0,14.0,51.0,53.0,2.0,1.0
18,1994,1994-06-24 19:30:00,Sweden,Russian Federation,Europe,Europe,212953336588.123,8718561.0,19728.4177741595,435083713850.837,148458777.0,1566.94567871094,12.0,18.0,1883.0,1842.0,15.0,23.0,1784.0,1719.0,-3.0,-6.0,-20.0,-43.0,706.0,444.0,330.0,144.0,325.0,223.0,51.0,77.0,350.0,240.0,218.0,92.0,138.0,112.0,1580.0,801.0,1065.0,436.0,10.0,19.0,55.0,50.0,3.0,1.0
19,1994,1994-06-24 16:00:00,Brazil,Cameroon,South America,Africa,368295777770.079,156849086.0,2032.88656301485,16181813512.4483,12864091.0,1031.60855864282,4.0,43.0,1950.0,1649.0,5.0,55.0,1975.0,1568.0,-2.0,-5.0,-49.0,-13.0,590.0,294.0,244.0,93.0,192.0,112.0,154.0,89.0,359.0,129.0,108.0,78.0,123.0,87.0,1270.0,471.0,608.0,344.0,3.0,24.0,59.0,46.0,3.0,0.0
20,1994,1994-06-25 12:30:00,Belgium,Netherlands,Europe,Europe,224721795708.955,10084475.0,19163.5340717146,353550169672.52,15290368.0,19249.7571957292,21.0,3.0,1827.0,1995.0,23.0,18.0,1730.0,1798.0,-8.0,2.0,-48.0,27.0,530.0,512.0,261.0,246.0,236.0,219.0,33.0,47.0,210.0,238.0,217.0,170.0,103.0,104.0,941.0,1075.0,988.0,802.0,27.0,2.0,44.0,59.0,1.0,0.0
21,1994,1994-06-25 12:30:00,Saudi Arabia,Morocco,Asia,Africa,132967901415.22,17763297.0,6093.56219603084,31655473663.8348,26155204.0,1035.94482421875,34.0,35.0,1680.0,1672.0,91.0,38.0,1405.0,1661.0,18.0,20.0,69.0,76.0,259.0,338.0,91.0,136.0,41.0,122.0,127.0,80.0,119.0,149.0,76.0,89.0,64.0,100.0,405.0,481.0,299.0,350.0,34.0,28.0,40.0,44.0,2.0,1.0
22,1994,1994-06-25 16:00:00,Argentina,Nigeria,South America,Africa,236741715015.015,33970103.0,6194.16840479609,27752204320.0883,102700751.0,180.756996467496,8.0,30.0,1927.0,1705.0,4.0,43.0,1988.0,1633.0,-7.0,4.0,-101.0,21.0,690.0,333.0,261.0,134.0,270.0,140.0,159.0,59.0,354.0,145.0,161.0,91.0,175.0,97.0,1314.0,512.0,781.0,384.0,8.0,11.0,55.0,54.0,2.0,1.0
23,1994,1994-06-26 12:30:00,Bulgaria,Greece,Europe,Europe,10829710144.9275,8472313.0,1079.86944342138,108809059155.767,10460415.0,,24.0,28.0,1789.0,1739.0,38.0,54.0,1614.0,1485.0,-3.0,7.0,-15.0,63.0,457.0,297.0,174.0,140.0,242.0,143.0,41.0,14.0,164.0,86.0,181.0,142.0,112.0,69.0,679.0,364.0,730.0,529.0,29.0,31.0,44.0,41.0,4.0,0.0
24,1994,1994-06-26 16:00:00,United States,Romania,North America,Europe,6858559000000.0,259919000.0,21808.806768977,26362894736.8421,22763280.0,847.00689191349,54.0,21.0,1619.0,1827.0,47.0,28.0,1589.0,1689.0,-21.0,-3.0,-68.0,2.0,284.0,446.0,130.0,183.0,125.0,232.0,29.0,31.0,87.0,184.0,138.0,152.0,59.0,110.0,347.0,728.0,545.0,657.0,23.0,7.0,47.0,55.0,0.0,1.0
25,1994,1994-06-26 16:00:00,Switzerland,Colombia,Europe,South America,272466458446.129,6938265.0,,66446804802.5747,35091272.0,1600.02476456049,16.0,5.0,1847.0,1933.0,28.0,66.0,1649.0,1477.0,3.0,20.0,29.0,158.0,549.0,235.0,270.0,85.0,255.0,84.0,24.0,66.0,166.0,72.0,276.0,100.0,107.0,63.0,793.0,274.0,1102.0,367.0,12.0,17.0,54.0,51.0,0.0,2.0
26,1994,1994-06-27 16:00:00,Germany,"Korea, Rep.",Europe,Asia,2071323790370.28,81156363.0,21217.5746154056,392666101884.959,44194628.0,7543.97746473454,1.0,39.0,2015.0,1659.0,9.0,36.0,1883.0,1663.0,2.0,0.0,21.0,-1.0,612.0,550.0,269.0,139.0,261.0,140.0,82.0,271.0,343.0,330.0,145.0,100.0,124.0,120.0,1378.0,1097.0,786.0,484.0,1.0,37.0,60.0,38.0,3.0,2.0
27,1994,1994-06-27 16:00:00,Bolivia,Spain,South America,Europe,5734676631.26304,7312857.0,695.1029741532,525075636030.854,39361262.0,11566.0964820188,30.0,9.0,1705.0,1912.0,61.0,8.0,1456.0,1912.0,33.0,7.0,155.0,82.0,208.0,379.0,75.0,179.0,66.0,156.0,67.0,44.0,49.0,190.0,117.0,94.0,42.0,95.0,227.0,695.0,484.0,408.0,43.0,5.0,35.0,56.0,1.0,3.0
28,1994,1994-06-28 12:30:00,Ireland,Norway,Europe,Europe,52417477613.676,3576261.0,11914.8153483704,120579072750.596,4311991.0,21149.9021087275,19.0,15.0,1841.0,1854.0,22.0,40.0,1590.0,1569.0,-8.0,13.0,-49.0,96.0,401.0,531.0,199.0,263.0,182.0,248.0,20.0,20.0,126.0,167.0,190.0,258.0,85.0,106.0,529.0,817.0,826.0,1093.0,14.0,6.0,53.0,56.0,0.0,0.0
29,1994,1994-06-28 16:00:00,Brazil,Sweden,South America,Europe,368295777770.079,156849086.0,2032.88656301485,212953336588.123,8718561.0,19728.4177741595,4.0,12.0,1950.0,1883.0,5.0,15.0,1975.0,1784.0,-2.0,-3.0,-49.0,-20.0,590.0,706.0,244.0,330.0,192.0,325.0,154.0,51.0,359.0,350.0,108.0,218.0,123.0,138.0,1270.0,1580.0,608.0,1065.0,3.0,10.0,59.0,55.0,1.0,1.0
30,1994,1994-06-28 12:30:00,Italy,Mexico,Europe,North America,1064958075550.63,56831821.0,15689.8087362547,500736065605.341,88625440.0,4903.9868187735,2.0,10.0,2000.0,1891.0,8.0,22.0,1901.0,1746.0,2.0,14.0,20.0,104.0,507.0,428.0,246.0,173.0,192.0,142.0,69.0,113.0,270.0,219.0,107.0,108.0,130.0,101.0,942.0,823.0,557.0,461.0,4.0,16.0,57.0,51.0,1.0,1.0
31,1994,1994-06-28 16:00:00,Russian Federation,Cameroon,Europe,Africa,435083713850.837,148458777.0,1566.94567871094,16181813512.4483,12864091.0,1031.60855864282,18.0,43.0,1842.0,1649.0,23.0,55.0,1719.0,1568.0,-6.0,-5.0,-43.0,-13.0,444.0,294.0,144.0,93.0,223.0,112.0,77.0,89.0,240.0,129.0,92.0,78.0,112.0,87.0,801.0,471.0,436.0,344.0,19.0,24.0,50.0,46.0,6.0,1.0
32,1994,1994-06-29 12:30:00,Morocco,Netherlands,Africa,Europe,31655473663.8348,26155204.0,1035.94482421875,353550169672.52,15290368.0,19249.7571957292,35.0,3.0,1672.0,1995.0,38.0,18.0,1661.0,1798.0,20.0,2.0,76.0,27.0,338.0,512.0,136.0,246.0,122.0,219.0,80.0,47.0,149.0,238.0,89.0,170.0,100.0,104.0,481.0,1075.0,350.0,802.0,28.0,2.0,44.0,59.0,1.0,2.0
33,1994,1994-06-29 12:30:00,Belgium,Saudi Arabia,Europe,Asia,224721795708.955,10084475.0,19163.5340717146,132967901415.22,17763297.0,6093.56219603084,21.0,34.0,1827.0,1680.0,23.0,91.0,1730.0,1405.0,-8.0,18.0,-48.0,69.0,530.0,259.0,261.0,91.0,236.0,41.0,33.0,127.0,210.0,119.0,217.0,76.0,103.0,64.0,941.0,405.0,988.0,299.0,27.0,34.0,44.0,40.0,0.0,1.0
34,1994,1994-06-30 19:30:00,Greece,Nigeria,Europe,Africa,108809059155.767,10460415.0,,27752204320.0883,102700751.0,180.756996467496,28.0,30.0,1739.0,1705.0,54.0,43.0,1485.0,1633.0,7.0,4.0,63.0,21.0,297.0,333.0,140.0,134.0,143.0,140.0,14.0,59.0,86.0,145.0,142.0,91.0,69.0,97.0,364.0,512.0,529.0,384.0,31.0,11.0,41.0,54.0,0.0,2.0
35,1994,1994-06-30 19:30:00,Argentina,Bulgaria,South America,Europe,236741715015.015,33970103.0,6194.16840479609,10829710144.9275,8472313.0,1079.86944342138,8.0,24.0,1927.0,1789.0,4.0,38.0,1988.0,1614.0,-7.0,-3.0,-101.0,-15.0,690.0,457.0,261.0,174.0,270.0,242.0,159.0,41.0,354.0,164.0,161.0,181.0,175.0,112.0,1314.0,679.0,781.0,730.0,8.0,29.0,55.0,44.0,0.0,2.0
36,1994,1994-07-02 12:00:00,Germany,Belgium,Europe,Europe,2071323790370.28,81156363.0,21217.5746154056,224721795708.955,10084475.0,19163.5340717146,1.0,21.0,2015.0,1827.0,9.0,23.0,1883.0,1730.0,2.0,-8.0,21.0,-48.0,612.0,530.0,269.0,261.0,261.0,236.0,82.0,33.0,343.0,210.0,145.0,217.0,124.0,103.0,1378.0,941.0,786.0,988.0,1.0,27.0,60.0,44.0,3.0,2.0
37,1994,1994-07-02 16:30:00,Spain,Switzerland,Europe,Europe,525075636030.854,39361262.0,11566.0964820188,272466458446.129,6938265.0,,9.0,16.0,1912.0,1847.0,8.0,28.0,1912.0,1649.0,7.0,3.0,82.0,29.0,379.0,549.0,179.0,270.0,156.0,255.0,44.0,24.0,190.0,166.0,94.0,276.0,95.0,107.0,695.0,793.0,408.0,1102.0,5.0,12.0,56.0,54.0,3.0,0.0
38,1994,1994-07-03 12:00:00,Saudi Arabia,Sweden,Asia,Europe,132967901415.22,17763297.0,6093.56219603084,212953336588.123,8718561.0,19728.4177741595,34.0,12.0,1680.0,1883.0,91.0,15.0,1405.0,1784.0,18.0,-3.0,69.0,-20.0,259.0,706.0,91.0,330.0,41.0,325.0,127.0,51.0,119.0,350.0,76.0,218.0,64.0,138.0,405.0,1580.0,299.0,1065.0,34.0,10.0,40.0,55.0,1.0,3.0
39,1994,1994-07-03 13:30:00,Romania,Argentina,Europe,South America,26362894736.8421,22763280.0,847.00689191349,236741715015.015,33970103.0,6194.16840479609,21.0,8.0,1827.0,1927.0,28.0,4.0,1689.0,1988.0,-3.0,-7.0,2.0,-101.0,446.0,690.0,183.0,261.0,232.0,270.0,31.0,159.0,184.0,354.0,152.0,161.0,110.0,175.0,728.0,1314.0,657.0,781.0,7.0,8.0,55.0,55.0,3.0,2.0
